origin,destination,count,cat,year
ae,sd,141,Pos,2019
ae,sd,89,Pos,2018
ae,sd,82,Pos,2016
ae,sd,69,Pos,2015
ae,sd,52,Pos,2017
ae,se,0,Pos,2015
ae,sg,147,Pos,2015
ae,sg,100,Pos,2016
ae,sg,33,Pos,2017
ae,sk,11,Pos,2016
ae,sk,4,Pos,2015
ae,sk,0,Pos,2017
ae,sy,128,Pos,2019
ae,sy,101,Pos,2015
ae,sy,60,Pos,2016
ae,sy,45,Pos,2018
ae,sy,41,Pos,2017
ae,th,12,Pos,2015
ae,tn,42,Pos,2019
ae,tn,31,Pos,2015
ae,tn,23,Pos,2018
ae,tn,21,Pos,2017
ae,tn,11,Pos,2016
ae,tr,143,Pos,2016
ae,tr,133,Pos,2019
ae,tr,124,Pos,2017
ae,tr,117,Pos,2015
ae,tr,112,Pos,2018
ae,tw,7,Pos,2016
ae,tw,6,Pos,2018
ae,tw,6,Pos,2019
ae,tw,3,Pos,2017
ae,tw,0,Pos,2015
ae,tz,10,Pos,2017
ae,tz,9,Pos,2019
ae,tz,6,Pos,2018
ae,tz,4,Pos,2015
ae,tz,0,Pos,2016
ae,ua,139,Pos,2015
ae,ua,100,Pos,2016
ae,ua,57,Pos,2017
ae,ua,28,Pos,2018
ae,ua,16,Pos,2019
ae,ug,33,Pos,2019
ae,ug,26,Pos,2018
ae,ug,23,Pos,2016
ae,ug,17,Pos,2017
ae,ug,16,Pos,2015
ae,us,1700,Pos,2015
ae,us,237,Pos,2016
ae,uz,23,Pos,2015
ae,uz,8,Pos,2017
ae,uz,5,Pos,2016
ae,ve,11,Pos,2015
ae,ve,8,Pos,2017
ae,ve,8,Pos,2018
ae,ve,5,Pos,2016
ae,ve,5,Pos,2019
ae,ye,19,Pos,2015
ae,ye,10,Pos,2016
ae,ye,8,Pos,2019
ae,ye,7,Pos,2017
ae,ye,3,Pos,2018
ae,za,245,Pos,2015
ae,za,228,Pos,2016
ae,za,197,Pos,2017
ae,za,135,Pos,2019
ae,za,97,Pos,2018
ae,zw,40,Pos,2019
ae,zw,32,Pos,2015
ae,zw,32,Pos,2016
ae,zw,29,Pos,2017
ae,zw,22,Pos,2018
af,ae,257,Neg,2015
af,ae,212,Neg,2016
af,ae,145,Neg,2017
af,au,103,Neg,2017
af,au,6,Neg,2019
af,ca,446,Neg,2017
af,ca,185,Neg,2019
af,ca,165,Neg,2016
af,ca,153,Neg,2018
af,ca,101,Neg,2015
af,de,225,Neg,2018
af,de,222,Neg,2016
af,de,211,Neg,2017
af,de,114,Neg,2019
af,fr,66,Neg,2017
af,gb,157,Neg,2015
af,gb,132,Neg,2016
af,gb,120,Neg,2017
af,iq,336,Neg,2015
af,iq,312,Neg,2016
af,iq,107,Neg,2017
af,iq,87,Neg,2018
af,iq,34,Neg,2019
af,it,11,Neg,2018
af,kw,101,Neg,2015
af,kw,76,Neg,2016
af,se,99,Neg,2016
af,se,47,Neg,2018
af,se,29,Neg,2017
af,se,15,Neg,2019
af,se,6,Neg,2015
af,tr,25,Neg,2017
af,us,3564,Neg,2017
af,us,2030,Neg,2016
af,us,1675,Neg,2018
af,us,1584,Neg,2019
af,us,1203,Neg,2015
af,ae,73,Pos,2018
af,ae,28,Pos,2019
af,au,218,Pos,2015
af,au,94,Pos,2018
af,au,90,Pos,2016
af,br,1372,Pos,2019
af,br,680,Pos,2018
af,br,581,Pos,2016
af,br,336,Pos,2015
af,br,83,Pos,2017
af,cn,826,Pos,2016
af,cn,263,Pos,2015
af,cn,256,Pos,2017
af,cn,148,Pos,2019
af,cn,120,Pos,2018
af,de,56,Pos,2015
af,es,273,Pos,2017
af,es,203,Pos,2019
af,es,178,Pos,2018
af,es,165,Pos,2016
af,es,84,Pos,2015
af,fr,709,Pos,2018
af,fr,368,Pos,2016
af,fr,274,Pos,2015
af,fr,15,Pos,2019
af,gb,94,Pos,2018
af,gb,89,Pos,2019
af,id,207,Pos,2018
af,id,166,Pos,2019
af,id,123,Pos,2016
af,id,83,Pos,2017
af,id,45,Pos,2015
af,in,1252,Pos,2019
af,in,872,Pos,2018
af,in,347,Pos,2015
af,in,312,Pos,2016
af,in,178,Pos,2017
af,ir,160,Pos,2019
af,ir,61,Pos,2016
af,ir,25,Pos,2018
af,ir,22,Pos,2015
af,ir,12,Pos,2017
af,it,297,Pos,2016
af,it,269,Pos,2015
af,it,89,Pos,2019
af,it,21,Pos,2017
af,kw,73,Pos,2018
af,kw,46,Pos,2019
af,kw,4,Pos,2017
af,nl,198,Pos,2016
af,nl,134,Pos,2015
af,nl,123,Pos,2019
af,nl,47,Pos,2018
af,nl,25,Pos,2017
af,pk,396,Pos,2018
af,pk,386,Pos,2015
af,pk,297,Pos,2017
af,pk,292,Pos,2019
af,pk,227,Pos,2016
af,tr,191,Pos,2019
af,tr,156,Pos,2016
af,tr,131,Pos,2018
af,tr,84,Pos,2015
af,za,368,Pos,2016
af,za,297,Pos,2015
af,za,157,Pos,2017
af,za,84,Pos,2018
af,za,65,Pos,2019
al,be,83,Neg,2019
al,be,71,Neg,2017
al,be,59,Neg,2018
al,be,50,Neg,2015
al,ca,257,Neg,2019
al,ca,231,Neg,2018
al,ca,178,Neg,2017
al,ca,158,Neg,2016
al,ca,135,Neg,2015
al,ch,86,Neg,2018
al,ch,85,Neg,2017
al,ch,62,Neg,2016
al,ch,45,Neg,2019
al,ch,35,Neg,2015
al,de,1165,Neg,2019
al,de,876,Neg,2018
al,de,648,Neg,2017
al,de,551,Neg,2016
al,de,384,Neg,2015
al,fr,164,Neg,2017
al,gb,441,Neg,2019
al,gb,361,Neg,2016
al,gb,299,Neg,2018
al,gb,189,Neg,2015
al,gb,171,Neg,2017
al,gr,62,Neg,2016
al,gr,32,Neg,2017
al,gr,32,Neg,2019
al,in,65,Neg,2015
al,in,33,Neg,2016
al,it,355,Neg,2019
al,it,287,Neg,2018
