origin,destination,count
ca,bd,0,32
ca,by,0,01
ca,be,0,06
ca,bj,0,05
ca,bo,-0,01
ca,br,1,14
ca,bg,0,01
ca,bf,-0,02
ca,kh,-0,01
ca,cm,0,12
ca,cl,-0,01
ca,cn,0,96
ca,co,0,09
ca,cd,0,01
ca,cr,-0,01
ca,ci,0,04
ca,hr,0,03
ca,cu,0,01
ca,cy,0,02
ca,cz,0,01
ca,dk,-0,02
ca,do,0,04
ca,ec,-0,04
ca,eg,0,3
ca,sv,0,02
ca,et,0,02
ca,fi,0
ca,fr,1,36
ca,de,-0,25
ca,gh,0,09
ca,gr,0,07
ca,gt,0
ca,ht,0,03
ca,hn,0,01
ca,hk,-0,12
ca,hu,0,02
ca,is,0,01
ca,in,6,72
ca,id,-0,33
ca,ir,1,8
ca,iq,0,04
ca,ie,0,12
ca,il,0,24
ca,it,0,15
ca,jm,0,25
ca,jp,-0,04
ca,jo,0,06
ca,kz,0,03
ca,ke,0,05
ca,kr,0,16
ca,kw,0,12
ca,lb,0,21
ca,ly,0,02
ca,lt,0,01
ca,lu,-0,02
ca,mg,0,01
ca,my,0,1
ca,mu,0,05
ca,mx,-0,05
ca,md,0,06
ca,ma,0,2
ca,np,0,09
ca,nl,-0,01
ca,nz,-0,04
ca,ni,0,01
ca,ng,0,66
ca,no,0,02
ca,om,0,07
ca,pk,0,88
ca,pa,-0,04
ca,pe,0,01
ca,ph,0,83
ca,pl,0,02
ca,pt,0,02
ca,qa,0,08
ca,ro,0,12
ca,rw,0,01
ca,sa,-0,06
ca,sn,0,04
ca,rs,0,08
ca,sg,0,2
ca,sk,0
ca,za,0,21
ca,es,-0,04
ca,lk,0,07
ca,se,-0,01
ca,ch,-0,11
ca,sy,0,05
ca,tw,0,03
ca,tz,0,01
ca,th,0,02
ca,tt,0
ca,tn,0,22
ca,tr,0,15
ca,ug,0,02
ca,ua,0,35
ca,ae,0,61
ca,gb,0,17
ca,us,0,81
ca,ve,0,09
ca,vn,0,09
ca,zw,0,02
cd,be,5,33
cd,ca,-1,07
cd,fr,15,4
cd,in,3,27
cd,ke,3,6
cd,rw,10,47
cd,za,14,13
cd,ug,1,4
cd,gb,7,73
cd,us,34,27
ch,al,0,04
ch,ar,0,19
ch,au,0,26
ch,at,1,16
ch,be,1,27
ch,br,1,48
ch,bg,0,24
ch,ca,0,82
ch,cl,0,06
ch,cn,0,7
ch,co,0,03
ch,cr,-0,01
ch,hr,0,2
ch,cz,0,65
ch,dk,0,14
ch,ec,-0,11
ch,eg,-0,09
ch,fi,0,24
ch,fr,36,12
ch,de,12,12
ch,gr,1,08
ch,hk,-0,39
ch,hu,1,01
ch,in,1,29
ch,id,0,04
ch,ir,-0,06
ch,ie,0,35
ch,il,0,01
ch,it,13,69
ch,jp,-0,01
ch,jo,0,02
ch,ke,-0,06
ch,kr,0
ch,lv,0,12
